formula,count_regular,percent_regular,os,n_days,count_on_request,percent_on_request,pct_on_request
python@3.9,806153,2.94,macos,30,223009,2.55,27.663359188640367
openssl@1.1,716758,2.61,macos,30,111643,1.28,15.576107975076663
sqlite,498512,1.82,macos,30,38721,0.44,7.767315531020317
readline,410284,1.49,macos,30,19900,0.23,4.850298817404529
node,396561,1.44,macos,30,288655,3.3,72.78955822685539
gdbm,370861,1.35,macos,30,5765,0.07,1.554490766082171
gmp,352148,1.28,macos,30,15893,0.18,4.513159239865057
gettext,344949,1.26,macos,30,10157,0.12,2.9444932439288127
libtiff,340377,1.24,macos,30,9611,0.11,2.823633794292799
python@3.8,329012,1.2,macos,30,182818,2.09,55.56575444056752
icu4c,327125,1.19,macos,30,7393,0.08,2.2599923576614445
xz,291363,1.06,macos,30,8259,0.09,2.834608375119696
unbound,289005,1.05,macos,30,26714,0.31,9.24343869483227
glib,286659,1.04,macos,30,60532,0.69,21.116378693848787
freetype,279060,1.02,macos,30,10597,0.12,3.797391242026804
nghttp2,269315,0.98,macos,30,7342,0.08,2.726175667898186
pkg-config,249216,0.91,macos,30,37616,0.43,15.093733949666152
krb5,241617,0.88,macos,30,27340,0.31,11.315428964021573
c-ares,237935,0.87,macos,30,2464,0.03,1.0355769432828292
libtool,226535,0.82,macos,30,34802,0.4,15.36274747831461
imagemagick,220950,0.8,macos,30,174605,2.0,79.02466621407558
pcre,200633,0.73,macos,30,9105,0.1,4.538136797037376
pcre2,199599,0.73,macos,30,3498,0.04,1.7525137901492491
libffi,195942,0.71,macos,30,7472,0.09,3.8133733451735714
libevent,191592,0.7,macos,30,15921,0.18,8.309845922585495
libidn2,181841,0.66,macos,30,3397,0.04,1.868115551498287
postgresql,180999,0.66,macos,30,173584,1.99,95.90329228338278
x265,178520,0.65,macos,30,2365,0.03,1.3247815370826799
gobject-introspection,178446,0.65,macos,30,27839,0.32,15.600798000515562
libev,173070,0.63,macos,30,958,0.01,0.5535332524412088
jemalloc,171450,0.62,macos,30,1148,0.01,0.6695829687955672
youtube-dl,168586,0.61,macos,30,152871,1.75,90.67834814278766
cmake,164875,0.6,macos,30,106981,1.22,64.88612585291888
git,161437,0.59,macos,30,157550,1.8,97.59224960820629
x264,159257,0.58,macos,30,4916,0.06,3.086834487652034
p11-kit,158170,0.58,macos,30,1563,0.02,0.9881772776126951
gnutls,156938,0.57,macos,30,37576,0.43,23.943213243446458
ffmpeg,156818,0.57,macos,30,127875,1.46,81.54357280414239
libunistring,155273,0.57,macos,30,402,0.0,0.2588988426835316
openjdk,154478,0.56,macos,30,54983,0.63,35.59277049159103
awscli,153864,0.56,macos,30,151517,1.73,98.47462694327459
guile,149966,0.55,macos,30,550,0.01,0.36674979662056734
jpeg,149608,0.54,macos,30,5495,0.06,3.672931928773862
jansson,149578,0.54,macos,30,786,0.01,0.5254783457460322
bdw-gc,148013,0.54,macos,30,545,0.01,0.3682109003938843
protobuf,146097,0.53,macos,30,26350,0.3,18.035962408536793
libpng,138508,0.5,macos,30,2903,0.03,2.095907817598983
harfbuzz,135299,0.49,macos,30,25849,0.3,19.1050931640293
pango,131937,0.48,macos,30,33826,0.39,25.637993891023747
libsndfile,129469,0.47,macos,30,3496,0.04,2.700260293969985
gnu-getopt,127459,0.46,macos,30,7139,0.08,5.60101679755843
webp,126968,0.46,macos,30,2648,0.03,2.0855648667380757
oniguruma,124331,0.45,macos,30,2767,0.03,2.2255109345215596
aom,122636,0.45,macos,30,1833,0.02,1.4946671450471314
libass,118383,0.43,macos,30,24277,0.28,20.50716741424022
nettle,117220,0.43,macos,30,1070,0.01,0.9128135130523801
libbluray,116191,0.42,macos,30,5081,0.06,4.372972089060254
libpq,116158,0.42,macos,30,45786,0.52,39.41700098142186
fribidi,115385,0.42,macos,30,1356,0.02,1.1751960826797243
yarn,115004,0.42,macos,30,114537,1.31,99.59392716775068
little-cms2,113599,0.41,macos,30,2235,0.03,1.9674468965395824
freetds,112302,0.41,macos,30,17400,0.2,15.493935994016136
pixman,110800,0.4,macos,30,981,0.01,0.8853790613718412
libtasn1,108573,0.4,macos,30,409,0.0,0.3767050740055078
go,108334,0.39,macos,30,87322,1.0,80.6044270496797
automake,108315,0.39,macos,30,66707,0.76,61.58611457323547
libmpc,107523,0.39,macos,30,4610,0.05,4.287454777117454
cairo,106626,0.39,macos,30,10194,0.12,9.560519948230263
autoconf,106087,0.39,macos,30,18655,0.21,17.58462394072789
openldap,104124,0.38,macos,30,19500,0.22,18.727670853981788
fontconfig,102989,0.38,macos,30,970,0.01,0.9418481585412034
libyaml,100284,0.37,macos,30,21493,0.25,21.432132743009852
graphite2,97492,0.36,macos,30,551,0.01,0.5651745784269478
gnupg,97010,0.35,macos,30,86811,0.99,89.486650860736
libde265,95730,0.35,macos,30,964,0.01,1.006998850934921
wget,95662,0.35,macos,30,94738,1.08,99.03409922435242
srt,93811,0.34,macos,30,7263,0.08,7.742162432976943
zstd,93073,0.34,macos,30,1157,0.01,1.2431102467955262
libksba,92478,0.34,macos,30,24320,0.28,26.298146586215097
ruby,92073,0.34,macos,30,61191,0.7,66.45922257339285
lzo,90809,0.33,macos,30,378,0.0,0.41625830038872796
gdk-pixbuf,90186,0.33,macos,30,23315,0.27,25.852127824717808
ruby-build,89917,0.33,macos,30,28013,0.32,31.15428673109645
lz4,88371,0.32,macos,30,3903,0.04,4.416607258037139
curl,87510,0.32,macos,30,53245,0.61,60.844474917152326
libomp,87499,0.32,macos,30,10778,0.12,12.3178550612007
rubberband,86987,0.32,macos,30,812,0.01,0.933472817777369
ghostscript,85951,0.31,macos,30,13738,0.16,15.983525497085548
qt,85155,0.31,macos,30,19115,0.22,22.44730197874464
mpfr,85089,0.31,macos,30,1841,0.02,2.1636169187556558
mysql,85079,0.31,macos,30,83384,0.95,98.00773398841078
rtmpdump,84011,0.31,macos,30,1044,0.01,1.2426944090654795
rav1e,83968,0.31,macos,30,228,0.0,0.2715320121951219
gcc,82959,0.3,macos,30,37620,0.43,45.347701876830726
ncurses,82382,0.3,macos,30,1635,0.02,1.9846568425141413
vim,81314,0.3,macos,30,80078,0.92,98.47996654942568
utf8proc,81206,0.3,macos,30,2139,0.02,2.6340418195699824
htop,80125,0.29,macos,30,79458,0.91,99.16755070202808
sphinx-doc,79991,0.29,macos,30,26950,0.31,33.69129027015539
pyenv,79450,0.29,macos,30,77521,0.89,97.5720578980491
libgcrypt,79400,0.29,macos,30,3695,0.04,4.653652392947103
libvorbis,78364,0.29,macos,30,1232,0.01,1.5721504772599662
jasper,77728,0.28,macos,30,2416,0.03,3.108275010292301
openjpeg,77209,0.28,macos,30,506,0.01,0.6553640119675168
openblas,77190,0.28,macos,30,13271,0.15,17.192641533877445
leptonica,77175,0.28,macos,30,2850,0.03,3.69290573372206
libvpx,75523,0.28,macos,30,1283,0.01,1.6988202269507302
libgpg-error,74919,0.27,macos,30,759,0.01,1.0130941416730068
unixodbc,72067,0.26,macos,30,5977,0.07,8.293671167108386
libheif,69987,0.25,macos,30,11937,0.14,17.056024690299626
zsh,69904,0.25,macos,30,64545,0.74,92.33377203021287
lua,69600,0.25,macos,30,8220,0.09,11.810344827586206
brotli,69227,0.25,macos,30,911,0.01,1.3159605356291622
kubernetes-cli,69200,0.25,macos,30,47663,0.55,68.8771676300578
dav1d,69099,0.25,macos,30,291,0.0,0.4211348934137976
gd,68781,0.25,macos,30,3076,0.04,4.472165278201829
php,66884,0.24,macos,30,65450,0.75,97.85598947431374
tmux,66448,0.24,macos,30,63357,0.73,95.34824223452925
ilmbase,66438,0.24,macos,30,847,0.01,1.2748728137511665
netpbm,66240,0.24,macos,30,4785,0.05,7.223731884057971
openexr,66235,0.24,macos,30,1895,0.02,2.8610251377670415
librsvg,64950,0.24,macos,30,19145,0.22,29.476520400307933
libxml2,64648,0.24,macos,30,40475,0.46,62.60827867838139
sdl2,64269,0.23,macos,30,5786,0.07,9.002785168588277
snappy,64057,0.23,macos,30,3194,0.04,4.986184179714941
giflib,63818,0.23,macos,30,1187,0.01,1.8599768090507383
libassuan,62806,0.23,macos,30,1269,0.01,2.020507594815782
isl,62703,0.23,macos,30,1512,0.02,2.4113678771350653
nvm,60436,0.22,macos,30,59927,0.69,99.15778674961943
libogg,58758,0.21,macos,30,555,0.01,0.9445522311855408
tesseract,57571,0.21,macos,30,5133,0.06,8.915947265116117
frei0r,57020,0.21,macos,30,279,0.0,0.4893019992984918
flac,56596,0.21,macos,30,675,0.01,1.1926637924941692
libssh2,55788,0.2,macos,30,2603,0.03,4.6658779665877965
xvid,55017,0.2,macos,30,563,0.01,1.0233200647072722
opus,53815,0.2,macos,30,666,0.01,1.237573167332528
gradle,52462,0.19,macos,30,51030,0.58,97.27040524570165
libzip,52154,0.19,macos,30,5284,0.06,10.131533535299306
boost,52058,0.19,macos,30,16436,0.19,31.572476852741172
libvidstab,51430,0.19,macos,30,197,0.0,0.38304491541901614
libusb,50240,0.18,macos,30,4858,0.06,9.669585987261147
pandoc,49580,0.18,macos,30,33389,0.38,67.34368697055264
ansible,49460,0.18,macos,30,48471,0.55,98.00040436716539
nss,49270,0.18,macos,30,7176,0.08,14.564643799472297
docbook,49101,0.18,macos,30,446,0.01,0.9083318058695342
docbook-xsl,48782,0.18,macos,30,478,0.01,0.9798696240416547
shared-mime-info,48612,0.18,macos,30,1767,0.02,3.634904961737843
coreutils,48541,0.18,macos,30,44679,0.51,92.04383922869327
libsamplerate,48198,0.18,macos,30,440,0.01,0.9129009502468982
libsoxr,48160,0.18,macos,30,295,0.0,0.6125415282392027
lame,48144,0.18,macos,30,814,0.01,1.690761050182785
xmlto,47510,0.17,macos,30,232,0.0,0.4883182487897285
opencore-amr,47422,0.17,macos,30,224,0.0,0.4723546033486567
