formula,count
openssl@1.1,423
python@3.9,369
openjdk,169
gettext,165
glib,162
libpng,151
boost,116
jpeg,110
readline,105
freetype,91
pcre,85
node,76
gmp,67
gtk+3,65
libtiff,61
sdl2,57
gcc,57
libx11,56
libvorbis,53
openjdk@8,53
libusb,47
cairo,46
sdl,45
xz,45
qt,44
icu4c,44
libevent,43
gnutls,42
libyaml,41
libogg,39
ffmpeg,39
libgcrypt,38
fftw,36
sqlite,36
libtool,33
gtk+,31
flac,31
fontconfig,30
pango,29
libxext,29
libsndfile,28
protobuf,27
openblas,26
libffi,25
ncurses,25
lua,25
json-c,24
mpfr,24
adwaita-icon-theme,24
libarchive,23
libxml2,23
postgresql,23
open-mpi,22
libsodium,22
numpy,22
hdf5,21
eigen,20
xorgproto,20
zstd,20
gdk-pixbuf,20
pkg-config,20
imagemagick,20
lz4,20
gd,20
ghostscript,19
libsoup,19
openjdk@11,19
snappy,19
webp,19
libusb-compat,18
little-cms2,18
libzip,17
lzo,17
zeromq,17
popt,17
sdl2_mixer,17
libpq,17
libomp,16
libxt,16
pcre2,16
libuv,15
libao,15
giflib,15
xerces-c,14
glew,14
json-glib,14
gnupg,14
gsl,14
gst-plugins-base,14
poppler,14
python@3.8,14
unixodbc,14
libmagic,14
tbb,14
go,14
graphviz,14
libidn,13
libice,13
opus,13
sdl2_image,13
lame,13
librsvg,13
mysql-client,13
jansson,13
rbenv,13
berkeley-db,13
luajit,13
hicolor-icon-theme,13
llvm,13
mad,12
apr,12
gstreamer,12
libsamplerate,12
netcdf,12
autoconf,12
kubernetes-cli,12
ocaml,11
bash,11
libev,11
libsm,11
coreutils,11
nettle,11
openexr,11
perl,11
librevenge,11
harfbuzz,11
libxmu,11
gflags,11
gpgme,11
proj,11
libmpc,11
openjpeg,11
pygobject3,10
portaudio,10
gobject-introspection,10
theora,10
glog,10
libnet,10
wxmac,10
apr-util,10
erlang,10
atk,10
ruby,9
curl,9
libgit2,9
libgpg-error,9
emacs,9
sdl2_ttf,9
libidn2,9
libssh2,9
cfitsio,9
taglib,9
bdw-gc,9
mono,9
php,9
lmdb,9
speex,8
glfw,8
pyqt,8
gdal,8
s-lang,8
geos,8
gnuplot,8
libid3tag,8
szip,8
libexif,8
lua@5.1,8
libpcap,8
jasper,8
libgsf,8
libssh,7
unbound,7
sdl_ttf,7
expat,7
libxinerama,7
docbook,7
protobuf-c,7
libmpdclient,7
geoip,7
isl,7
libxcb,7
krb5,7
libxft,7
libmodplug,7
rtmpdump,7
openldap,7
gnu-getopt,7
netpbm,7
pixman,7
jack,7
suite-sparse,7
mecab,6
libdnet,6
gdbm,6
glibmm,6
gnu-sed,6
mpg123,6
libplist,6
jpeg-turbo,6
libmicrohttpd,6
libwpd,6
libxrender,6
sdl_mixer,6
groonga,6
liblo,6
aspell,6
opusfile,6
faad2,6
mbedtls,6
fribidi,6
terraform,6
fluid-synth,6
fmt,6
nghttp2,6
vala,6
libgee,6
wget,6
libxfixes,6
hidapi,6
libxpm,6
orc,6
c-ares,6
ilmbase,6
confuse,6
mesa,6
flex,6
jsoncpp,6
metis,5
py3cairo,5
libassuan,5
libunistring,5
pyenv,5
neon,5
vapoursynth,5
tesseract,5
libxi,5
gtksourceview3,5
sdl_image,5
libxp,5
pandoc,5
tokyo-cabinet,5
hadoop,5
libspatialite,5
libxrandr,5
tmux,5
raptor,5
gtk-mac-integration,5
libnfc,5
coinutils,5
gst-plugins-good,5
libsigc++@2,5
freetds,5
tidy-html5,5
docker-machine,5
gawk,5
libsoxr,5
dbus,5
re2,5
sbcl,5
gspell,5
libconfig,4
libgeotiff,4
gtkmm3,4
opencv,4
nspr,4
check,4
libraw,4
utf8proc,4
gsasl,4
gtksourceview4,4
jemalloc,4
gtkglext,4
minizip,4
python@3.7,4
socat,4
tcl-tk,4
x264,4
libvpx,4
serd,4
rlwrap,4
hwloc,4
pybind11,4
argon2,4
libshout,4
fltk,4
openmotif,4
djvulibre,4
osi,4
jq,4
double-conversion,4
libepoxy,4
libdvdread,4
scalapack,4
p7zip,4
pulseaudio,4
libass,4
lv2,4
automake,4
llvm@9,4
cairomm@1.14,4
libxaw,4
brotli,4
exiftool,4
speexdsp,4
flann,3
gtkmm,3
rapidjson,3
qwt,3
gl2ps,3
rrdtool,3
libcaca,3
argp-standalone,3
ceres-solver,3
libre,3
physfs,3
uchardet,3
libspectre,3
libmaxminddb,3
hbase,3
node@10,3
swig,3
leptonica,3
solarus,3
htslib,3
helm,3
vtk@8.2,3
faac,3
gnu-tar,3
e2fsprogs,3
gtksourceview,3
ntl,3
xml-security-c,3
log4shib,3
shared-mime-info,3
leveldb,3
yara,3
spidermonkey,3
frei0r,3
ssdeep,3
gst-libav,3
exiv2,3
arpack,3
libimobiledevice,3
libbitcoin,3
oniguruma,3
libheif,3
glm,3
berkeley-db@4,3
boost-python3,3
id3lib,3
lzlib,3
librsync,3
zookeeper,3
task,3
postgis,3
redis,3
gsettings-desktop-schemas,3
glpk,3
libxcursor,3
nlopt,3
pkcs11-helper,3
libftdi0,3
nss,3
msgpack,3
librdkafka,3
yajl,3
sdl_net,3
freeimage,3
mplayer,3
libotr,3
libtasn1,3
libhid,3
libelf,3
clp,3
qhull,3
dialog,3
z3,3
bazaar,3
scipy,3
imlib2,3
lua@5.3,3
libmms,3
libccd,3
zlib,3
xvid,3
terminal-notifier,3
qrencode,3
cgal,3
xapian,3
clutter,3
freexl,3
libxmlsec1,3
x265,3
consul,3
tinyxml,2
rasqal,2
util-linux,2
libmpeg2,2
libiconv,2
libsecret,2
libglade,2
libdiscid,2
node-build,2
sdl_sound,2
libdazzle,2
libgda,2
fstrm,2
tor,2
itstool,2
awscli,2
doxygen,2
iso-codes,2
adns,2
fdk-aac,2
sdl_gfx,2
bash-completion,2
source-highlight,2
ruby-build,2
libxmp,2
ponyc,2
libyubikey,2
bullet,2
ufraw,2
portmidi,2
abseil,2
sox,2
libdvdcss,2
squashfs,2
unibilium,2
enchant,2
pugixml,2
libmatio,2
udunits,2
erlang@22,2
guile,2
nlohmann-json,2
c-blosc,2
wcslib,2
i2util,2
