formula,count_regular,percent_regular,os,n_days,count_on_request,percent_on_request,pct_on_request
python@3.9,841883,3.08,macos,30,233248,2.72,27.70551252371173
openssl@1.1,802355,2.93,macos,30,123152,1.44,15.348816920191188
sqlite,533648,1.95,macos,30,46729,0.54,8.756521152520014
readline,532483,1.95,macos,30,31713,0.37,5.955683092230175
node,372521,1.36,macos,30,270910,3.16,72.72341693488421
gmp,366634,1.34,macos,30,16510,0.19,4.503128460535575
gdbm,358349,1.31,macos,30,5409,0.06,1.5094223787425107
icu4c,357021,1.3,macos,30,7085,0.08,1.984477103587744
libtiff,355986,1.3,macos,30,10118,0.12,2.8422466052035755
gettext,332265,1.21,macos,30,9706,0.11,2.921162325252434
python@3.8,319649,1.17,macos,30,181441,2.11,56.76257394829955
nghttp2,312263,1.14,macos,30,9869,0.12,3.1604769056852713
unbound,295559,1.08,macos,30,31210,0.36,10.559651372484005
krb5,288310,1.05,macos,30,32403,0.38,11.23894419201554
xz,283735,1.04,macos,30,8079,0.09,2.847375191640087
glib,269294,0.98,macos,30,56375,0.66,20.934369128164757
c-ares,264660,0.97,macos,30,2533,0.03,0.9570770044585506
freetype,263401,0.96,macos,30,9893,0.12,3.7558703269919245
pkg-config,243694,0.89,macos,30,36502,0.43,14.978620729275239
imagemagick,224808,0.82,macos,30,179053,2.09,79.64707661649052
libtool,218367,0.8,macos,30,33586,0.39,15.380529109251857
postgresql,217807,0.8,macos,30,210624,2.45,96.70212619429127
pcre2,210963,0.77,macos,30,3963,0.05,1.8785284623369976
libev,197106,0.72,macos,30,968,0.01,0.4911063082808235
jemalloc,195422,0.71,macos,30,1065,0.01,0.5449744655156532
pcre,195329,0.71,macos,30,9052,0.11,4.634232500038396
libffi,189945,0.69,macos,30,7312,0.09,3.8495353918239488
libevent,182045,0.67,macos,30,15583,0.18,8.559971435634047
libidn2,181580,0.66,macos,30,3207,0.04,1.7661636744134817
p11-kit,180988,0.66,macos,30,2569,0.03,1.4194311225053595
youtube-dl,172776,0.63,macos,30,157581,1.84,91.20537574663147
gobject-introspection,166966,0.61,macos,30,25781,0.3,15.440868200711522
cmake,165869,0.61,macos,30,106832,1.25,64.40745407520393
x265,164150,0.6,macos,30,2008,0.02,1.2232713981114833
libunistring,156174,0.57,macos,30,404,0.0,0.25868582478517554
gnutls,149561,0.55,macos,30,34864,0.41,23.310889871022525
git,147956,0.54,macos,30,144876,1.69,97.91830003514559
awscli,147147,0.54,macos,30,145253,1.69,98.71285177407626
jpeg,145494,0.53,macos,30,5393,0.06,3.7066820624905494
openjdk,144629,0.53,macos,30,50324,0.59,34.7952347039667
jansson,143727,0.53,macos,30,768,0.01,0.5343463649836148
protobuf,143576,0.52,macos,30,25742,0.3,17.929180364406307
guile,143155,0.52,macos,30,530,0.01,0.37022807446474104
bdw-gc,141421,0.52,macos,30,521,0.01,0.3684035609987201
x264,137560,0.5,macos,30,3933,0.05,2.8591160220994474
ffmpeg,136101,0.5,macos,30,111683,1.3,82.05891213143181
libpng,135423,0.49,macos,30,2868,0.03,2.117808644026495
libsndfile,133558,0.49,macos,30,3764,0.04,2.8182512466493956
gnu-getopt,130104,0.48,macos,30,7253,0.08,5.5747709524687945
harfbuzz,129424,0.47,macos,30,23940,0.28,18.497342069477067
aom,128918,0.47,macos,30,1934,0.02,1.5001784079802665
webp,123163,0.45,macos,30,2573,0.03,2.0891014346841175
pango,114532,0.42,macos,30,30715,0.36,26.8178325708099
nettle,113245,0.41,macos,30,1043,0.01,0.921011965208177
fribidi,111349,0.41,macos,30,1286,0.01,1.15492730064931
oniguruma,110423,0.4,macos,30,2242,0.03,2.030374106843683
automake,110224,0.4,macos,30,67241,0.78,61.00395558136159
yarn,110173,0.4,macos,30,109731,1.28,99.59881277627005
little-cms2,109786,0.4,macos,30,2243,0.03,2.0430656003497716
freetds,109648,0.4,macos,30,18075,0.21,16.48456880198453
libass,109515,0.4,macos,30,22684,0.26,20.713144318129935
pixman,107535,0.39,macos,30,1002,0.01,0.931789649881434
libbluray,107445,0.39,macos,30,4584,0.05,4.2663688398715625
autoconf,105386,0.39,macos,30,18387,0.21,17.447289013720987
libtasn1,105247,0.38,macos,30,387,0.0,0.36770644293899113
libpq,103727,0.38,macos,30,42849,0.5,41.309398710075484
curl,103572,0.38,macos,30,61732,0.72,59.60298150079172
cairo,103507,0.38,macos,30,9757,0.11,9.426415604741708
libmpc,101103,0.37,macos,30,4584,0.05,4.533990089314857
fontconfig,100644,0.37,macos,30,961,0.01,0.9548507610985255
gnupg,98405,0.36,macos,30,88304,1.03,89.73527767897973
ruby-build,97930,0.36,macos,30,32109,0.37,32.78770550393138
libyaml,96827,0.35,macos,30,20691,0.24,21.36903962737666
openldap,96545,0.35,macos,30,17646,0.21,18.277487182143044
libksba,96476,0.35,macos,30,25075,0.29,25.990920021559766
graphite2,94562,0.35,macos,30,522,0.01,0.5520187813286521
zstd,92377,0.34,macos,30,1111,0.01,1.2026803208590884
lz4,92252,0.34,macos,30,3992,0.05,4.327277457399298
wget,92187,0.34,macos,30,91412,1.07,99.15931747426427
go,91296,0.33,macos,30,72453,0.84,79.36054153522608
gdk-pixbuf,90701,0.33,macos,30,24272,0.28,26.76045468076427
srt,88718,0.32,macos,30,6771,0.08,7.632047611533173
lzo,88687,0.32,macos,30,375,0.0,0.42283536482235273
qt,87746,0.32,macos,30,19951,0.23,22.737218790600142
ruby,87173,0.32,macos,30,58160,0.68,66.71790577357667
libde265,87125,0.32,macos,30,860,0.01,0.9870875179340028
utf8proc,85219,0.31,macos,30,2373,0.03,2.7845902908975697
rtmpdump,84688,0.31,macos,30,1037,0.01,1.2244946155299452
mysql,83772,0.31,macos,30,82243,0.96,98.17480781167932
htop,83216,0.3,macos,30,82699,0.96,99.37872524514516
rubberband,82989,0.3,macos,30,780,0.01,0.9398835990311969
libomp,82201,0.3,macos,30,10443,0.12,12.704225009428107
mpfr,82161,0.3,macos,30,1800,0.02,2.1908204622631176
jasper,82032,0.3,macos,30,2839,0.03,3.46084454846889
ghostscript,80883,0.3,macos,30,13287,0.15,16.427432216905903
vim,80722,0.3,macos,30,79677,0.93,98.70543346299647
rav1e,80234,0.29,macos,30,235,0.0,0.29289328713512974
gcc,79482,0.29,macos,30,35844,0.42,45.09700309504039
ncurses,79194,0.29,macos,30,1621,0.02,2.046872237795793
lua,78888,0.29,macos,30,9289,0.11,11.774921407565156
pyenv,76117,0.28,macos,30,74359,0.87,97.69039767726001
libvorbis,75959,0.28,macos,30,1230,0.01,1.6192946194657645
openjpeg,75255,0.28,macos,30,499,0.01,0.6630788651916816
leptonica,74493,0.27,macos,30,2846,0.03,3.820493200703422
sphinx-doc,74489,0.27,macos,30,25029,0.29,33.600934366148024
libgcrypt,74369,0.27,macos,30,3443,0.04,4.629617179201011
libusb,73136,0.27,macos,30,8071,0.09,11.035604900459418
